global_step,success,ep_len,mean_return,hazard_steps,approx_kl,sps
483328,0.0,599.0,-2.0449619162082673,0.0,0.0021360116079449654,734
491520,0.0,599.0,-2.044724794626236,0.0,0.0027945535257458687,733
499712,0.0,599.0,-2.6056186997890474,0.94,0.006024789065122604,733
507904,0.0,599.0,-2.6056186997890474,0.94,0.008995665237307549,735
516096,0.0,599.0,-2.6056186997890474,0.94,0.0025828699581325054,736
524288,0.0,599.0,-2.6062324512004853,0.94,0.0009913588874042034,737
532480,0.0,599.0,-2.6063148152828215,0.94,0.006759479641914368,739
540672,0.0,599.0,-2.1620984506607055,0.0,0.005685911513864994,741
548864,0.0,599.0,-2.1620984506607055,0.0,0.002001544227823615,741
557056,0.0,599.0,-2.1620984506607055,0.0,0.0020297798328101635,742
565248,0.0,599.0,-2.1727928388118745,0.0,0.006261267699301243,742
573440,0.0,599.0,-2.1621815621852876,0.0,0.001082653529010713,741
581632,0.0,599.0,-2.151922142505646,0.0,0.005514334887266159,740
589824,0.0,599.0,-2.151922142505646,0.0,0.007179735694080591,739
598016,0.0,599.0,-2.151922142505646,0.0,0.0030746066477149725,738
606208,0.0,599.0,-2.1412443482875823,0.0,0.0020756470039486885,738
614400,0.0,599.0,-2.1284825301170347,0.0,0.005024224519729614,737
622592,0.0,599.0,-2.1284825301170347,0.0,0.008134489879012108,737
630784,0.0,599.0,-2.1284825301170347,0.0,0.005939968395978212,737
638976,0.0,599.0,-2.1178642642498016,0.0,0.00928645022213459,737
