global_step,obey_top,obey_bottom,success_top,success_bottom,wrong_steps,segment_return,approx_kl,sps
401408,0.05,0.57,0.02,0.25,76.32,-2.3026575818657875,0.03765871003270149,557
409600,0.05,0.565,0.02,0.245,76.32,-1.8717719819396734,0.026074502617120743,556
417792,0.045,0.525,0.015,0.21,69.71,-1.6133264866657555,0.02709633857011795,554
425984,0.045,0.495,0.015,0.18,57.11,-1.4187021923717111,0.026535939425230026,554
434176,0.045,0.455,0.015,0.155,45.57,-1.9577765511348844,0.05524398386478424,553
442368,0.045,0.435,0.015,0.135,37.265,-2.3933149706572294,0.04364794120192528,552
450560,0.045,0.425,0.015,0.115,37.575,-2.8619753550738096,0.057937413454055786,551
458752,0.045,0.395,0.015,0.11,29.75,-2.761901367455721,0.045072197914123535,550
466944,0.045,0.355,0.015,0.09,22.94,-2.6983625013381243,0.05147499591112137,549
475136,0.04,0.335,0.015,0.085,23.26,-1.9141300395131111,0.038637228310108185,548
483328,0.04,0.32,0.015,0.07,17.93,-1.4381145066581666,0.035750921815633774,548
491520,0.04,0.3,0.015,0.06,15.26,-1.6494326661340892,0.023279041051864624,546
499712,0.035,0.275,0.015,0.04,11.55,-1.5971087208017707,0.02773948386311531,546
507904,0.035,0.265,0.01,0.035,13.145,-2.255714850500226,0.03667725995182991,545
516096,0.035,0.265,0.01,0.03,13.145,-2.6677396651357412,0.05348668992519379,544
524288,0.035,0.26,0.01,0.025,13.51,-1.967380316928029,0.025267429649829865,543
