global_step,success,success_slab_top,success_slab_bottom,ep_len,mean_return,hazard_steps,approx_kl,sps,success_rand_spawn
172032,0.37,0.59,0.16,487.46,0.5140619957447052,1.57,0.03439079597592354,459,nan
180224,0.37,0.6,0.17,489.58,0.30556620955467223,1.59,0.026856452226638794,458,nan
188416,0.38,0.61,0.16,480.96,0.7627199161052703,1.47,0.02888547070324421,458,nan
196608,0.34,0.59,0.15,495.16,0.08997366547584534,1.56,0.021228931844234467,457,nan
204800,0.38,0.58,0.14,482.68,1.0469344389438628,1.23,0.02579178661108017,457,nan
212992,0.41,0.62,0.14,468.65,2.1414563059806824,0.64,0.02007438801229,456,nan
221184,0.45,0.66,0.15,457.06,3.0779034912586214,0.53,0.01574210822582245,456,nan
229376,0.48,0.69,0.16,449.12,3.974280364513397,0.53,0.022779380902647972,455,nan
237568,0.45,0.7,0.13,460.87,3.081929450035095,0.38,0.02595032937824726,455,nan
245760,0.48,0.73,0.12,446.04,3.891015030145645,0.26,0.026335855945944786,455,nan
253952,0.46,0.7,0.11,453.2,3.4102968788146972,0.18,0.017471756786108017,455,nan
262144,0.49,0.72,0.14,444.36,3.9708800709247587,1.81,0.03020724654197693,454,nan
270336,0.45,0.73,0.14,455.56,2.7705568039417265,1.96,0.03895724564790726,454,nan
278528,0.47,0.76,0.14,448.08,3.177810513973236,2.54,0.039032526314258575,454,nan
286720,0.47,0.76,0.15,445.77,3.310726042985916,2.5,0.026545369997620583,454,nan
294912,0.46,0.76,0.17,450.3,2.76344212770462,3.05,0.016925539821386337,453,nan
303104,0.47,0.78,0.14,442.93,3.1904157733917238,1.46,0.02792416326701641,453,nan
311296,0.46,0.77,0.14,446.79,3.1893751853704453,1.82,0.019457506015896797,453,nan
319488,0.5,0.81,0.13,441.73,4.072764551043511,1.36,0.03708334267139435,453,nan
327680,0.5,0.79,0.16,442.79,3.923440936207771,1.8,0.025145838037133217,452,nan
335872,0.53,0.79,0.18,435.26,4.5932565766572955,2.9,0.03517953306436539,453,nan
344064,0.54,0.81,0.2,431.2,4.914107559323311,2.36,0.023008935153484344,453,nan
352256,0.54,0.82,0.18,431.17,4.761810406446457,2.39,0.01986769214272499,452,nan
360448,0.48,0.82,0.17,449.07,3.0703950107097624,2.21,0.030409540981054306,452,nan
368640,0.48,0.82,0.17,442.74,3.046521043777466,2.78,0.023184550926089287,452,nan
376832,0.47,0.85,0.17,446.88,2.919862334728241,1.98,0.027035273611545563,452,nan
385024,0.5,0.85,0.17,435.52,3.824559545516968,1.88,0.011194974184036255,451,nan
393216,0.44,0.84,0.16,454.06,2.319003103971481,1.49,0.0239405520260334,451,nan
401408,0.5,0.83,0.17,433.22,3.923140639066696,2.13,0.02879973314702511,451,nan
409600,0.51,0.84,0.16,429.37,4.283477705717087,1.54,0.018221251666545868,451,nan
417792,0.53,0.86,0.13,417.79,4.862652617692947,0.88,0.021818770095705986,451,nan
425984,0.53,0.84,0.13,423.79,4.6071818101406095,1.5,0.03387965261936188,451,nan
434176,0.55,0.84,0.12,418.64,5.034255738258362,1.36,0.02439413219690323,451,nan
442368,0.59,0.84,0.11,405.84,6.170405230522156,0.68,0.020894572138786316,450,nan
450560,0.57,0.85,0.12,417.39,5.597567687034607,0.73,0.023846182972192764,450,nan
458752,0.57,0.87,0.14,417.27,5.337514071464539,0.9,0.030679773539304733,450,nan
466944,0.57,0.89,0.11,416.06,5.311837506294251,0.35,0.025966640561819077,450,nan
475136,0.55,0.88,0.11,421.64,4.797458789348602,0.42,0.02602577768266201,449,nan
483328,0.54,0.88,0.12,424.13,4.529205248355866,0.41,0.01939322240650654,449,nan
491520,0.45,0.88,0.11,456.45,2.1506256115436555,0.4,0.013184977695345879,449,nan
499712,0.42,0.87,0.1,463.05,1.4875831341743468,0.45,0.02819722145795822,449,nan
507904,0.4,0.89,0.09,469.07,1.3233439087867738,0.26,0.02515186369419098,449,nan
516096,0.4,0.9,0.06,465.48,1.56837855219841,0.46,0.019838042557239532,449,nan
524288,0.4,0.9,0.06,467.68,1.4594727289676666,1.0,0.029349781572818756,449,nan
532480,0.43,0.91,0.04,453.48,2.3610862362384797,0.98,0.018837714567780495,449,nan
540672,0.44,0.89,0.04,450.63,2.7010491847991944,0.99,0.029860418289899826,449,nan
